index,minute,mv
1038,1.73,26,
1039,1.7317,27,
1040,1.7333,25,
1041,1.735,25,
1042,1.7367,24,
1043,1.7383,23,
1044,1.74,23,
1045,1.7417,23,
1046,1.7433,22,
1047,1.745,21,
1048,1.7467,21,
1049,1.7483,21,
1050,1.75,19,
1051,1.7517,20,
1052,1.7533,19,
1053,1.755,19,
1054,1.7567,18,
1055,1.7583,18,
1056,1.76,19,
1057,1.7617,18,
1058,1.7633,18,
1059,1.765,18,
1060,1.7667,18,
1061,1.7683,19,
1062,1.77,19,
1063,1.7717,20,
1064,1.7733,20,
1065,1.775,20,
1066,1.7767,22,
1067,1.7783,22,
1068,1.78,22,
1069,1.7817,24,
1070,1.7833,25,
1071,1.785,26,
1072,1.7867,28,
1073,1.7883,29,
1074,1.79,31,
1075,1.7917,32,
1076,1.7933,35,
1077,1.795,37,
1078,1.7967,40,
1079,1.7983,43,
1080,1.8,45,
1081,1.8017,49,
1082,1.8033,53,
1083,1.805,57,
1084,1.8067,61,
1085,1.8083,65,
1086,1.81,71,
1087,1.8117,76,
1088,1.8133,81,
1089,1.815,87,
1090,1.8167,94,
1091,1.8183,102,
1092,1.82,109,
1093,1.8217,117,
1094,1.8233,127,
1095,1.825,135,
1096,1.8267,145,
1097,1.8283,156,
1098,1.83,166,
1099,1.8317,179,
1100,1.8333,191,
1101,1.835,204,
1102,1.8367,219,
1103,1.8383,233,
1104,1.84,248,
1105,1.8417,265,
1106,1.8433,281,
1107,1.845,299,
1108,1.8467,318,
1109,1.8483,337,
1110,1.85,358,
1111,1.8517,379,
1112,1.8533,401,
1113,1.855,425,
1114,1.8567,448,
1115,1.8583,473,
1116,1.86,498,
1117,1.8617,524,
1118,1.8633,552,
1119,1.865,581,
1120,1.8667,609,
1121,1.8683,640,
1122,1.87,670,
1123,1.8717,703,
1124,1.8733,734,
1125,1.875,768,
1126,1.8767,802,
1127,1.8783,836,
1128,1.88,872,
1129,1.8817,907,
1130,1.8833,943,
1131,1.885,980,
1132,1.8867,1018,
1133,1.8883,1055,
1134,1.89,1093,
1135,1.8917,1133,
1136,1.8933,1171,
1137,1.895,1211,
1138,1.8967,1250,
1139,1.8983,1290,
1140,1.9,1328,
1141,1.9017,1368,
1142,1.9033,1407,
1143,1.905,1445,
1144,1.9067,1485,
1145,1.9083,1524,
1146,1.91,1562,
1147,1.9117,1601,
1148,1.9133,1637,
1149,1.915,1674,
1150,1.9167,1710,
1151,1.9183,1745,
1152,1.92,1780,
1153,1.9217,1815,
1154,1.9233,1848,
1155,1.925,1879,
1156,1.9267,1911,
1157,1.9283,1940,
1158,1.93,1969,
1159,1.9317,1998,
1160,1.9333,2023,
1161,1.935,2049,
1162,1.9367,2074,
1163,1.9383,2095,
1164,1.94,2117,
1165,1.9417,2136,
